Date,predicted_mean
2022-06-05,8343.432480172723
2022-06-12,8974.196458691422
2022-06-19,13963.666168715674
2022-06-26,14714.208182439625
2022-07-03,17726.524607442196
2022-07-10,18398.66934128307
2022-07-17,20233.853638379078
2022-07-24,20770.639683144087
2022-07-31,21898.299187221233
2022-08-07,22301.457453799958
2022-08-14,22999.90512692933
2022-08-21,23291.48419433051
2022-08-28,23727.250336393987
2022-09-04,23932.89054893643
2022-09-11,24206.55986150093
2022-09-18,24349.047818470317
2022-09-25,24521.92511397285
2022-10-02,24619.389807447165
2022-10-09,24729.159766977155
2022-10-16,24795.186933025594
2022-10-23,24865.199145440252
2022-10-30,24909.600376898856
2022-11-06,24954.42763287009
2022-11-13,24984.115843219046
