Date,predicted_mean
2022-06-05,179.2766410885612
2022-06-12,179.2766410885612
2022-06-19,179.2766410885612
2022-06-26,179.2766410885612
2022-07-03,179.2766410885612
2022-07-10,179.2766410885612
2022-07-17,179.2766410885612
2022-07-24,179.2766410885612
2022-07-31,179.2766410885612
2022-08-07,179.2766410885612
2022-08-14,179.2766410885612
2022-08-21,179.2766410885612
2022-08-28,179.2766410885612
2022-09-04,179.2766410885612
2022-09-11,179.2766410885612
2022-09-18,179.2766410885612
2022-09-25,179.2766410885612
2022-10-02,179.2766410885612
2022-10-09,179.2766410885612
2022-10-16,179.2766410885612
2022-10-23,179.2766410885612
2022-10-30,179.2766410885612
2022-11-06,179.2766410885612
2022-11-13,179.2766410885612
