Date      , 20H.Beta.V2_table, 20I.Alpha.V1_table, 20J.Gamma.V3_table, 21A.Delta_table, 21K.Omicron_table, Total_Sequences, 20H.Beta.V2_mutations, 20I.Alpha.V1_mutations, 20J.Gamma.V3_mutations, 21A.Delta_mutations, 21K.Omicron_mutations
2020-10-06,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-10-07,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-10-08,               0.0,            67130.0,                0.0,             0.0,               0.0,         67130.0,                    20,                     18,                     20,                  20,                    20
2020-10-09,               0.0,            25224.0,                0.0,             0.0,               0.0,         25224.0,                    20,                     18,                     20,                  20,                    20
2020-10-10,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-10-11,               0.0,             1788.0,                0.0,             0.0,               0.0,          1788.0,                    20,                     18,                     20,                  20,                    20
2020-10-12,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-10-13,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-10-14,               0.0,            32611.0,            56071.0,             0.0,               0.0,         88682.0,                    20,                     18,                     20,                  20,                    20
2020-10-15,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-10-16,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-10-17,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-10-18,               0.0,           237176.0,                0.0,             0.0,               0.0,        237176.0,                    20,                     18,                     20,                  20,                    20
2020-10-19,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-10-20,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-10-21,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-10-22,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-10-23,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-10-24,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-10-25,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-10-26,               0.0,                0.0,                0.0,          1183.0,               0.0,          1183.0,                    20,                     18,                     20,                  20,                    20
2020-10-27,               0.0,            35278.0,                0.0,             0.0,               0.0,         35278.0,                    20,                     18,                     20,                  20,                    20
2020-10-28,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-10-29,               0.0,            63455.0,                0.0,             0.0,               0.0,         63455.0,                    20,                     18,                     20,                  20,                    20
2020-10-30,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-10-31,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-01,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-02,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-03,             272.0,                0.0,                0.0,             0.0,               0.0,           272.0,                    20,                     18,                     20,                  20,                    20
2020-11-04,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-05,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-06,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-07,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-08,            2474.0,            37224.0,                0.0,             0.0,               0.0,         39698.0,                    20,                     18,                     20,                  20,                    20
2020-11-09,               0.0,            26044.0,                0.0,             0.0,               0.0,         26044.0,                    20,                     18,                     20,                  20,                    20
2020-11-10,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-11,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-12,               0.0,            29687.0,                0.0,             0.0,               0.0,         29687.0,                    20,                     18,                     20,                  20,                    20
2020-11-13,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-14,               0.0,              120.0,                0.0,             0.0,               0.0,           120.0,                    20,                     18,                     20,                  20,                    20
2020-11-15,             272.0,                0.0,                0.0,             0.0,               0.0,           272.0,                    20,                     18,                     20,                  20,                    20
2020-11-16,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-17,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-18,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-19,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-20,               0.0,              422.0,                0.0,             0.0,               0.0,           422.0,                    20,                     18,                     20,                  20,                    20
2020-11-21,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-22,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-23,              74.0,             3131.0,                0.0,             0.0,               0.0,          3205.0,                    20,                     18,                     20,                  20,                    20
2020-11-24,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-25,             410.0,                3.0,                0.0,             0.0,               0.0,           413.0,                    20,                     18,                     20,                  20,                    20
2020-11-26,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-27,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-28,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-29,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-11-30,               0.0,           140351.0,                0.0,             0.0,               0.0,        140351.0,                    20,                     18,                     20,                  20,                    20
2020-12-01,             262.0,            51987.0,                0.0,             0.0,               0.0,         52249.0,                    20,                     18,                     20,                  20,                    20
2020-12-02,               0.0,              583.0,                0.0,             0.0,               0.0,           583.0,                    20,                     18,                     20,                  20,                    20
2020-12-03,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-12-04,               0.0,                0.0,            13567.0,             0.0,               0.0,         13567.0,                    20,                     18,                     20,                  20,                    20
2020-12-05,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-12-06,               0.0,               78.0,                0.0,             0.0,               0.0,            78.0,                    20,                     18,                     20,                  20,                    20
2020-12-07,               0.0,              117.0,                0.0,             0.0,               0.0,           117.0,                    20,                     18,                     20,                  20,                    20
2020-12-08,               0.0,              188.0,                0.0,             0.0,               0.0,           188.0,                    20,                     18,                     20,                  20,                    20
2020-12-09,            2327.0,            15157.0,                0.0,             0.0,               0.0,         17484.0,                    20,                     18,                     20,                  20,                    20
2020-12-10,             915.0,             2644.0,                0.0,             0.0,               0.0,          3559.0,                    20,                     18,                     20,                  20,                    20
2020-12-11,               0.0,             5374.0,                0.0,             0.0,               0.0,          5374.0,                    20,                     18,                     20,                  20,                    20
2020-12-12,               0.0,                0.0,                0.0,             0.0,               0.0,             0.0,                    20,                     18,                     20,                  20,                    20
2020-12-13,               8.0,             3115.0,                0.0,             0.0,               0.0,          3123.0,                    20,                     18,                     20,                  20,                    20
2020-12-14,             319.0,              826.0,                0.0,             0.0,               0.0,          1145.0,                    20,                     18,                     20,                  20,                    20
2020-12-15,               0.0,              211.0,                0.0,             0.0,               0.0,           211.0,                    20,                     18,                     20,                  20,                    20
2020-12-16,              36.0,             7493.0,                0.0,             0.0,               0.0,          7529.0,                    20,                     18,                     20,                  20,                    20
2020-12-17,             217.0,            15490.0,             2160.0,             0.0,               0.0,         17867.0,                    20,                     18,                     20,                  20,                    20
2020-12-18,               0.0,             6343.0,                0.0,             0.0,               0.0,          6343.0,                    20,                     18,                     20,                  20,                    20
2020-12-19,            1949.0,                0.0,                0.0,             0.0,               0.0,          1949.0,                    20,                     18,                     20,                  20,                    20
2020-12-20,            1124.0,              143.0,                0.0,             0.0,               0.0,          1267.0,                    20,                     18,                     20,                  20,                    20
2020-12-21,               0.0,             4009.0,                0.0,             0.0,               0.0,          4009.0,                    20,                     18,                     20,                  20,                    20
2020-12-22,            7317.0,            15820.0,                0.0,             0.0,               0.0,         23137.0,                    20,                     18,                     20,                  20,                    20
2020-12-23,               0.0,                2.0,                0.0,             0.0,               0.0,             2.0,                    20,                     18,                     20,                  20,                    20
