Date,predicted_mean
2022-06-05,3.0504628194467287
2022-06-12,3.0504628194467287
2022-06-19,3.0504628194467287
2022-06-26,3.0504628194467287
2022-07-03,3.0504628194467287
2022-07-10,3.0504628194467287
2022-07-17,3.0504628194467287
2022-07-24,3.0504628194467287
2022-07-31,3.0504628194467287
2022-08-07,3.0504628194467287
2022-08-14,3.0504628194467287
2022-08-21,3.0504628194467287
2022-08-28,3.0504628194467287
2022-09-04,3.0504628194467287
2022-09-11,3.0504628194467287
2022-09-18,3.0504628194467287
2022-09-25,3.0504628194467287
2022-10-02,3.0504628194467287
2022-10-09,3.0504628194467287
2022-10-16,3.0504628194467287
2022-10-23,3.0504628194467287
2022-10-30,3.0504628194467287
2022-11-06,3.0504628194467287
2022-11-13,3.0504628194467287
